walking, 230412, 311264, 216101.42376715722,2,35
transit, 19041, 324516, 216101.42376715722,2,35
driving, 25831, 777625, 662121.711674774,2,36
walking, 563493, 754768, 662121.711674774,2,36
transit, 16329, 764859, 662121.711674774,2,36
driving, 23907, 714554, 602445.5983593788,2,37
walking, 513777, 691643, 602445.5983593788,2,37
transit, 23637, 1086991, 602445.5983593788,2,37
driving, 32917, 1012598, 840925.7338139002,2,38
walking, 700316, 944337, 840925.7338139002,2,38
transit, 23413, 991324, 840925.7338139002,2,38
driving, 27194, 795780, 674121.4716317061,2,39
walking, 571584, 765759, 674121.4716317061,2,39
transit, 15702, 767570, 674121.4716317061,2,39
driving, 33063, 1014592, 842991.2912903914,2,40
walking, 702136, 946765, 842991.2912903914,2,40
transit, 24158, 994523, 842991.2912903914,2,40
driving, 28072, 842323, 683488.893789464,2,41
walking, 577001, 775634, 683488.893789464,2,41
driving, 7696, 197571, 145590.83465778833,2,42
walking, 135812, 175874, 145590.83465778833,2,42
transit, 16636, 220811, 145590.83465778833,2,42
driving, 25978, 780969, 662071.4126765879,2,43
walking, 564165, 756204, 662071.4126765879,2,43
transit, 16438, 778784, 662071.4126765879,2,43
driving, 4633, 99439, 86284.72566225535,2,44
walking, 72653, 97076, 86284.72566225535,2,44
transit, 7981, 102955, 86284.72566225535,2,44
driving, 28772, 781900, 541060.2252024125,2,45
walking, 485892, 638712, 541060.2252024125,2,45
transit, 21172, 1113772, 541060.2252024125,2,45
driving, 26658, 795259, 670381.4950041429,2,46
walking, 570681, 764891, 670381.4950041429,2,46
transit, 15379, 767947, 670381.4950041429,2,46
driving, 20204, 594732, 467095.4234719376,2,47
walking, 408457, 546548, 467095.4234719376,2,47
transit, 26084, 642455, 467095.4234719376,2,47
driving, 27274, 826464, 608085.7271035283,2,48
walking, 535177, 709629, 608085.7271035283,2,48
transit, 29666, 1260863, 608085.7271035283,2,48
driving, 34578, 1072653, 893136.3385515236,2,49
walking, 748926, 1008065, 893136.3385515236,2,49
transit, 28250, 1099512, 893136.3385515236,2,49
driving, 26845, 788373, 670689.2723604643,2,50
walking, 569321, 762899, 670689.2723604643,2,50
transit, 16290, 765014, 670689.2723604643,2,50
driving, 22162, 652227, 482367.0704725675,2,51
walking, 421230, 564120, 482367.0704725675,2,51
transit, 26327, 985971, 482367.0704725675,2,51
driving, 26820, 788978, 668671.2671584022,2,52
walking, 569124, 762041, 668671.2671584022,2,52
transit, 16322, 769023, 668671.2671584022,2,52
driving, 6926, 185548, 142288.58011159414,2,53
walking, 127284, 166649, 142288.58011159414,2,53
transit, 10270, 208640, 142288.58011159414,2,53
driving, 35746, 1082818, 892532.5507055481,2,54
walking, 739490, 994832, 892532.5507055481,2,54
transit, 34320, 1086969, 892532.5507055481,2,54
driving, 20201, 504555, 333818.5956609001,2,55
walking, 308509, 401609, 333818.5956609001,2,55
driving, 34372, 1052636, 741633.1508933409,2,56
walking, 655801, 867846, 741633.1508933409,2,56
transit, 29364, 1239973, 741633.1508933409,2,56
driving, 6954, 177337, 133632.7332433634,2,57
walking, 119386, 156312, 133632.7332433634,2,57
transit, 9466, 197594, 133632.7332433634,2,57
driving, 9458, 202729, 139667.35837587732,2,58
walking, 145316, 183128, 139667.35837587732,2,58
driving, 40269, 1220407, 904618.2604818891,2,59
walking, 780629, 1034458, 904618.2604818891,2,59
transit, 32018, 1273772, 904618.2604818891,2,59
driving, 7973, 216862, 186159.89469142174,2,60
walking, 159608, 213898, 186159.89469142174,2,60
transit, 13036, 236970, 186159.89469142174,2,60
driving, 32796, 1009394, 839497.4187681774,2,61
walking, 699671, 943616, 839497.4187681774,2,61
transit, 27389, 992838, 839497.4187681774,2,61
driving, 25937, 759186, 510632.43250258284,2,62
walking, 457730, 604484, 510632.43250258284,2,62
driving, 26904, 793914, 667001.114429741,2,63
walking, 566560, 757751, 667001.114429741,2,63
transit, 15766, 768645, 667001.114429741,2,63
driving, 22849, 689744, 565874.8916763436,2,64
walking, 472549, 634796, 565874.8916763436,2,64
transit, 25600, 923909, 565874.8916763436,2,64
driving, 38076, 1159653, 843461.3986840256,2,65
walking, 734154, 972367, 843461.3986840256,2,65
transit, 29546, 1208294, 843461.3986840256,2,65
driving, 29262, 897966, 746831.6780947358,2,66
walking, 623557, 838079, 746831.6780947358,2,66
transit, 23713, 910315, 746831.6780947358,2,66
driving, 2967, 61921, 45100.03919008254,2,67
walking, 43119, 55723, 45100.03919008254,2,67
transit, 5163, 61498, 45100.03919008254,2,67
driving, 25418, 763319, 652148.6129777917,2,68
walking, 554420, 743145, 652148.6129777917,2,68
transit, 15892, 768405, 652148.6129777917,2,68
driving, 26121, 783182, 666793.7690001773,2,69
walking, 566239, 758997, 666793.7690001773,2,69
transit, 15403, 760978, 666793.7690001773,2,69
driving, 27117, 826283, 571980.0240359323,2,70
walking, 511867, 677734, 571980.0240359323,2,70
transit, 26132, 1192880, 571980.0240359323,2,70
driving, 28815, 880565, 721756.8428564412,2,71
walking, 601556, 808239, 721756.8428564412,2,71
transit, 23877, 989695, 721756.8428564412,2,71
driving, 12836, 372631, 255859.08639935532,2,72
walking, 241147, 316764, 255859.08639935532,2,72
