,time,distance,heuristic,cityDep_id,cityArr_id
148,26666,785061,670255.5800998262,10000,50
149,20024,583010,492216.5219476989,100000,50
150,16363,463061,397908.31186385953,1000,51
151,21953,648499,481599.6663580553,10000,51
152,15732,452155,332635.622981976,100000,51
153,8324,228271,204320.74378136164,1000,52
154,26656,785666,668220.1059246416,10000,52
155,20014,583615,491185.8552909232,100000,52
156,37271,1152839,841930.7765524369,1000,53
157,7128,181595,144755.44697235207,10000,53
158,15162,447351,209495.706050289,100000,53
159,3766,85348,68040.73451845431,1000,54
160,35585,1079508,892368.4795263065,10000,54
161,28943,877457,699140.0196090064,100000,54
162,25151,720834,586344.2704826389,1000,55
163,19983,501469,332405.7343488214,10000,55
164,15362,401135,262867.3679087761,100000,55
165,22212,652563,535715.3285494398,1000,56
166,34299,1049324,740022.5735262659,10000,56
167,28296,850639,653344.3152796546,100000,56
168,37364,1145979,842718.382896855,1000,57
169,7220,174734,136101.4689259206,10000,57
170,15255,440491,208648.36142734412,100000,57
171,37850,1040933,766011.8596646653,1000,58
172,9540,202175,141692.41676170443,10000,58
173,13010,243064,132298.3009663436,100000,58
174,26802,781958,596727.0595379007,1000,59
175,40114,1217770,902983.7071586237,10000,59
176,34112,1019084,813853.0556093899,100000,59
177,26199,805211,648745.3249531316,1000,60
178,7904,213551,186076.71941773972,10000,60
179,3695,92300,70718.14084534263,100000,60
180,672,8872,7726.780819934137,1000,61
181,32601,1006084,839455.5709403203,10000,61
182,25959,804033,641932.89641264,100000,61
183,24215,683006,596590.3072967194,1000,62
184,25855,755874,508838.1420488841,10000,62
185,23413,628248,457403.55518035387,100000,62
186,7492,207932,194122.250210292,1000,63
187,26833,794923,666619.5881585483,10000,63
188,20191,592872,485844.7874446399,100000,63
189,11016,327184,269570.936646431,1000,64
190,22666,686433,565879.3481664446,10000,64
191,16024,484382,369021.43242636154,100000,64
192,24685,720529,567266.6343646123,1000,65
193,37997,1156341,841839.1739296243,10000,65
194,31995,957655,753021.3433196237,100000,65
195,4150,108289,88195.46643023672,1000,66
196,29085,894656,746755.9799167644,10000,66
197,22443,692605,551077.5886584682,100000,66
198,35003,1076356,865023.8869235751,1000,67
199,3303,66573,47037.78559029845,10000,67
200,12894,370868,232118.0338908446,100000,67
201,9040,237165,216565.51877891735,1000,68
202,25226,760007,651701.3127478797,10000,68
203,18584,557956,474798.2864454072,100000,68
204,7887,221003,202903.4527343439,1000,69
205,25936,779870,666359.0578514931,10000,69
206,19294,577819,488453.27382804215,100000,69
207,21831,625453,546433.1779745785,1000,70
208,27042,822971,570325.7252091162,10000,70
209,25028,662128,497302.34742197976,100000,70
210,8742,208466,151667.74475787964,1000,71
211,28645,877589,722019.3814516102,10000,71
212,22003,675538,515968.3751108859,100000,71
213,25465,797891,602422.5586742455,1000,72
214,12745,369320,256685.04108517908,10000,72
215,2396,56594,45731.12997958411,100000,72
216,6909,193556,150810.88399215674,1000,73
217,29680,858976,728156.707288351,10000,73
218,23038,656925,547215.7876069827,100000,73
219,27335,809675,705135.2741055219,1000,74
220,21329,641630,507260.7787015221,10000,74
221,22940,673009,501132.8111299414,100000,74
222,22799,713513,566882.0635004959,1000,75
223,10369,305571,268530.8176808763,10000,75
224,4049,107021,86376.66814417015,100000,75
225,65068,1362533,1062611.3299376112,1000,76
226,33368,352750,315436.7566547617,10000,76
227,42959,657045,436910.9440129188,100000,76
228,23097,678427,536837.0102738302,1000,77
229,35904,1099594,798262.1201389715,10000,77
230,29902,900908,706373.2968500401,100000,77
231,28359,843906,747553.0401197947,1000,78
232,15640,453466,333510.3068162453,10000,78
233,19255,581256,370374.7345689298,100000,78
234,26916,831870,635735.473696347,1000,79
235,11907,336417,222084.43977528598,10000,79
236,1558,23692,17822.588326307516,100000,79
237,35624,1095280,867761.8941967123,1000,80
238,3924,85497,63798.24636795666,10000,80
239,13515,389792,232019.73945199847,100000,80
240,8871,229888,210038.46459034464,1000,81
241,25972,773585,659493.8417429195,10000,81
242,19330,571534,482303.21330945933,100000,81
243,25722,797185,637978.6058211006,1000,100000
244,10660,307621,211872.6804913712,10000,100000
245,32769,1013109,834819.9837316566,1000,10000
